
0    [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts-default.xml]
98   [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts-plugin.xml]
113  [main] INFO  com.opensymphony.xwork2.config.providers.XmlConfigurationProvider  - Parsing configuration file [struts.xml]
116  [main] WARN  org.apache.struts2.config.Settings  - Settings: Could not parse struts.locale setting, substituting default VM locale
119  [main] INFO  com.opensymphony.xwork2.config.impl.DefaultConfiguration  - Overriding property struts.i18n.reload - old value: false new value: true
119  [main] INFO  com.opensymphony.xwork2.config.impl.DefaultConfiguration  - Overriding property struts.configuration.xml.reload - old value: false new value: true
122  [main] INFO  org.apache.struts2.config.BeanSelectionProvider  - Loading global messages from global
185  [main] INFO  com.opensymphony.xwork2.util.ObjectTypeDeterminerFactory  - Detected GenericsObjectTypeDeterminer, initializing it...
9553 [http-8181-1] ERROR com.opensymphony.xwork2.interceptor.ParametersInterceptor  - ParametersInterceptor - [setParameters]: Unexpected Exception catched: Error setting expression 'param' with value '[Ljava.lang.String;@1efc208'
9570 [http-8181-1] INFO  com.opensymphony.xwork2.validator.ActionValidatorManagerFactory  - Detected AnnotationActionValidatorManager, initializing it...
9847 [http-8181-1] INFO  org.hibernate.cfg.Environment  - Hibernate 3.3.2.GA
9850 [http-8181-1] INFO  org.hibernate.cfg.Environment  - hibernate.properties not found
9856 [http-8181-1] INFO  org.hibernate.cfg.Environment  - Bytecode provider name : javassist
9865 [http-8181-1] INFO  org.hibernate.cfg.Environment  - using JDK 1.4 java.sql.Timestamp handling
10085 [http-8181-1] INFO  org.hibernate.cfg.Configuration  - configuring from resource: /hibernate.cfg.xml
10085 [http-8181-1] INFO  org.hibernate.cfg.Configuration  - Configuration resource: /hibernate.cfg.xml
10194 [http-8181-1] INFO  org.hibernate.cfg.Configuration  - Reading mappings from resource : Tablemapping/Tablemapping.hbm.xml
10447 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.login.LoginForm -> distributor_login_details
10491 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.disttributordetails.DistributorDetailForm -> distributor_details
10499 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.paneldetails.PanelDetailForm -> white_label_details
10504 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.dsamount.DistributorAmountForm -> distributor_amount
10509 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.mdsdetail.MdsDetailsForm -> md_details
10513 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentDetails.AgentDetailForm -> agent_details
10525 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentamount.AgentAmountForm -> agent_amount
10529 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentDetails.AgentLoginForm -> login_details
10532 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentDetails.REPAgentLoginForm -> recharge_e_point_login_info
10536 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.cityName.CityNameForm -> city_details
10540 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentamount.AgentJournalForm -> agent_journal
10544 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.disttributordetails.DistributorTransactionDetailForm -> distributor_Transaction_details
10549 [http-8181-1] INFO  org.hibernate.cfg.HbmBinder  - Mapping class: com.agentamount.AgentTransactionDetailsForm -> agent_transaction_details
